Model ID,Status,,Maps,VPO,Method,nTrMols,nTsMols,External Pred,r&sup2; STE,q&sup2;<sub>cv</sub> STE,q&sup2;<sub>ext</sub> STE,Optimal PC STE,r&sup2; ELE,q&sup2;<sub>cv</sub> ELE,q&sup2;<sub>ext</sub> ELE,Optimal PC ELE,r&sup2; SUM,q&sup2;<sub>cv</sub> SUM,q&sup2;<sub>ext</sub> SUM,Optimal PC SUM,r&sup2; COMBINED,q&sup2;<sub>cv</sub> COMBINED,q&sup2;<sub>ext</sub> COMBINED,Optimal PC COMBINED,|,COMBINED CV Score,COMBINED Pred Score,COMBINED Full Score,|,MixedFields CV Score,MixedFields Pred Score,MixedFields Full Score,|,AllFields CV Score,AllFields Pred Score,AllFields Full Score,|,Probe,Probe Charge,Charge Model,Min Sigma,Scaling,Max N Components,Grid Spacing,Grid Extension,Diel Const,CutOff,CutOff (2),# Level,CV Type,CV Groups,CV Iters,CV Random,Min SDEP Increment,SA Opt,SA Ti,SA Tf,SA cool factor,SA Min Vars,Y-Scrambling,Y-S Iterations
205440,completed,Results,Available,true,O3G,36,6,True,0.679,0.194,0.425,2,0.431,0.231,0.472,1,0.414,0.192,0.418,1,0.996,0.744,0.497,7,|,0.829,0.665,0.707,|,0.645,0.637,0.651,|,0.560,0.628,0.616,|,Cl,1,eem2015ha,0.900,true,8,1.700,9.000,59.000,16.000,False,2,LOO,5,10,True,0.05,False,100,0.001,0.999,50,True,10
205537,completed,Results,Missing,true,EasyMIF,36,6,True,0.398,-0.029,-0.446,1,0.406,0.070,-0.597,1,0.653,0.193,-1.748,1,0.637,0.238,-0.889,1,|,0.492,-0.259,-0.011,|,0.477,-0.546,-0.231,|,0.412,-0.280,-0.028,|,S.o,1,eem,0.500,true,8,2.400,5.000,55.000,30.000,True,3,LOO,5,10,True,0.05,False,100,0.001,0.999,50,True,10
205543,completed,Results,Missing,true,Autogrid,36,6,True,0.566,-0.015,0.345,2,0.474,0.289,-0.043,1,0.677,0.357,0.108,2,0.740,0.421,0.593,2,|,0.614,0.729,0.686,|,0.593,0.567,0.593,|,0.509,0.500,0.522,|,Cl,1,eem,0.900,true,8,1.900,9.000,70.000,29.000,True,2,LOO,5,10,True,0.05,False,100,0.001,0.999,50,True,10
205545,completed,Results,Missing,true,TRIPOS,36,6,True,0.640,0.295,-0.002,2,0.738,0.374,-0.303,4,0.648,0.227,0.511,2,0.731,0.322,0.642,2,|,0.548,0.761,0.646,|,0.516,0.718,0.618,|,0.536,0.475,0.491,|,C.3.H2,1,gasteiger,0.100,true,8,3.000,7.000,74.000,12.000,True,3,LOO,5,10,True,0.05,False,100,0.001,0.999,50,True,10
205546,completed,Results,Missing,true,Autogrid,36,6,True,0.164,-0.047,-0.294,1,0.541,0.269,-1.274,2,0.334,0.111,-0.623,1,0.484,0.197,-1.088,1,|,0.465,-0.392,-0.092,|,0.436,-0.237,0.030,|,0.422,-0.213,0.049,|,C.3.H2,1,qeq,0.500,true,8,2.800,6.000,60.000,11.000,False,1,LOO,5,10,True,0.05,False,100,0.001,0.999,50,True,10
205548,completed,Results,Missing,true,TRIPOS,36,6,True,0.708,0.207,0.243,2,0.582,0.371,0.587,2,0.853,0.399,0.667,3,0.796,0.318,0.680,2,|,0.545,0.787,0.640,|,0.572,0.782,0.654,|,0.549,0.695,0.630,|,Br,1,openbabel,0.200,true,8,1.500,3.000,60.000,22.000,True,3,LOO,5,10,True,0.05,False,100,0.001,0.999,50,True,10
205434,completed,Results,Missing,true,EasyMIF,36,6,True,0.243,-0.437,-0.256,1,0.371,0.148,0.574,1,0.443,0.075,0.540,1,0.427,-0.005,0.517,1,|,0.330,0.618,0.482,|,0.357,0.623,0.502,|,0.297,0.497,0.436,|,O.3,1,openbabel,0.800,true,8,3.500,9.000,44.000,2.000,False,3,LOO,5,10,True,0.05,False,100,0.001,0.999,50,True,10
205435,completed,Results,Missing,true,Autogrid,36,6,True,0.169,-0.106,0.111,1,0.231,0.097,0.649,1,0.313,0.142,0.614,1,0.317,0.130,0.729,1,|,0.420,0.545,0.496,|,0.424,0.543,0.508,|,0.377,0.495,0.483,|,Br,1,eem,1.000,true,8,3.500,10.000,43.000,22.000,False,0,LOO,5,10,True,0.05,False,100,0.001,0.999,50,True,10
205436,completed,Results,Missing,true,TRIPOS,36,6,True,0.543,-0.061,-0.046,2,0.196,0.031,-0.582,1,0.288,0.023,-0.734,1,0.287,0.040,-0.718,1,|,0.360,-0.145,0.100,|,0.354,-0.151,0.094,|,0.339,-0.013,0.185,|,Na,1,qtpie,0.200,true,8,2.400,6.000,54.000,11.000,False,1,LOO,5,10,True,0.05,False,100,0.001,0.999,50,True,10
205437,completed,Results,Missing,true,TRIPOS,36,6,True,0.253,-0.018,-0.161,1,0.327,-0.180,0.372,2,0.729,0.231,0.163,3,0.623,0.201,0.001,2,|,0.467,0.334,0.430,|,0.477,0.388,0.464,|,0.372,0.388,0.426,|,C.3.H1,1,eem2015ba,0.600,true,8,3.000,6.000,29.000,17.000,True,4,LOO,5,10,True,0.05,False,100,0.001,0.999,50,True,10
205438,completed,Results,Missing,true,O3G,36,6,True,0.671,0.153,0.198,2,0.374,0.180,0.323,1,0.371,0.167,0.346,1,0.411,0.185,0.365,1,|,0.457,0.577,0.585,|,0.451,0.570,0.582,|,0.447,0.539,0.561,|,OH,1,openbabel,0.200,true,8,2.000,3.000,29.000,9.000,True,4,LOO,5,10,True,0.05,False,100,0.001,0.999,50,True,10
205439,completed,Results,Missing,true,Autogrid,36,6,True,0.240,-0.015,-0.372,1,0.067,-0.055,-0.929,1,0.229,0.025,-0.462,1,0.685,0.149,0.708,5,|,0.433,0.790,0.571,|,0.391,0.408,0.403,|,0.351,0.154,0.273,|,C.3,1,eem2015hn,0.800,true,8,3.400,4.000,25.000,5.000,False,4,LOO,5,10,True,0.05,False,100,0.001,0.999,50,True,10
205444,completed,Results,Missing,true,EasyMIF,36,6,True,0.893,-0.070,-2.402,5,0.531,0.398,0.630,1,0.533,0.328,0.394,1,0.540,0.353,0.445,1,|,0.569,0.630,0.661,|,0.560,0.613,0.651,|,0.501,0.161,0.281,|,I,1,gasteiger,0.200,true,8,1.900,4.000,17.000,13.000,False,0,LOO,5,10,True,0.05,False,100,0.001,0.999,50,True,10
205445,completed,Results,Missing,true,TRIPOS,36,6,True,0.336,-0.037,-0.296,1,0.413,0.087,0.333,2,0.361,0.079,-0.168,1,0.965,0.415,-0.492,6,|,0.610,0.005,0.162,|,0.498,0.113,0.266,|,0.424,0.230,0.338,|,C.3.H3,1,eem2015ha,0.400,true,8,2.900,10.000,36.000,17.000,True,1,LOO,5,10,True,0.05,False,100,0.001,0.999,50,True,10
205447,completed,Results,Missing,true,Autogrid,36,6,True,0.238,-0.039,-0.039,1,0.527,0.344,-0.097,1,0.876,0.423,0.037,5,0.666,0.368,0.111,2,|,0.579,0.407,0.506,|,0.597,0.383,0.474,|,0.516,0.335,0.451,|,Br,1,gasteiger,0.100,true,8,2.500,3.000,23.000,12.000,False,4,LOO,5,10,True,0.05,False,100,0.001,0.999,50,True,10
205448,completed,Results,Missing,true,Autogrid,36,6,True,0.291,-0.048,-0.332,1,0.594,0.268,0.871,2,0.823,0.401,0.936,3,0.681,0.317,0.862,2,|,0.545,0.787,0.628,|,0.573,0.835,0.655,|,0.490,0.628,0.544,|,C.3.H2,1,qeq,0.700,true,8,1.500,8.000,40.000,11.000,True,1,LOO,5,10,True,0.05,False,100,0.001,0.999,50,True,10
205450,completed,Results,Missing,true,TRIPOS,36,6,True,0.664,0.124,-0.028,2,0.434,-0.144,-0.250,1,0.448,-0.047,-0.579,1,0.475,-0.073,-0.432,1,|,0.285,0.046,0.193,|,0.293,-0.004,0.160,|,0.310,0.119,0.249,|,Cl,1,qtpie,0.400,true,8,1.400,4.000,16.000,21.000,False,3,LOO,5,10,True,0.05,False,100,0.001,0.999,50,True,10
205451,completed,Results,Missing,true,O3G,36,6,True,0.266,0.014,-0.077,1,0.822,0.310,0.774,3,0.721,0.237,0.684,2,0.773,0.294,0.813,2,|,0.529,0.849,0.640,|,0.510,0.819,0.626,|,0.476,0.692,0.580,|,I,1,eem,0.200,true,8,2.700,4.000,6.000,13.000,True,0,LOO,5,10,True,0.05,False,100,0.001,0.999,50,True,10
205452,completed,Results,Missing,true,TRIPOS,36,6,True,0.411,0.082,-0.356,1,0.514,0.212,0.533,2,0.360,0.181,0.173,1,0.749,0.311,0.330,2,|,0.540,0.553,0.585,|,0.497,0.501,0.571,|,0.464,0.443,0.503,|,O.3,1,openbabel,0.400,true,8,2.400,3.000,37.000,17.000,False,3,LOO,5,10,True,0.05,False,100,0.001,0.999,50,True,10
205453,completed,Results,Missing,true,Autogrid,36,6,True,0.655,0.139,0.365,2,0.521,-0.008,0.720,2,0.776,0.179,0.824,3,0.819,0.151,0.940,3,|,0.434,0.879,0.555,|,0.443,0.865,0.568,|,0.410,0.747,0.530,|,C.3.H3,1,eem2015bm,0.500,true,8,1.500,6.000,71.000,29.000,False,2,LOO,5,10,True,0.05,False,100,0.001,0.999,50,True,10
