,ID,Name,Exp,Fit/Pred,Err Fit/Pred,CV,Err CV,Mol Set
1,1775937,1a,3.760,3.731,0.029,4.861,-1.101,Training Set
2,1775938,1b,6.630,6.631,-0.001,6.360,0.270,Training Set
3,1775939,1c,6.280,6.367,-0.087,6.514,-0.234,Training Set
4,1775940,1d,6.500,6.531,-0.031,6.321,0.179,Training Set
5,1775941,1f,5.940,5.947,-0.007,6.437,-0.497,Training Set
6,1775942,1g,5.850,5.834,0.016,6.125,-0.275,Training Set
7,1775943,1h,7.280,7.324,-0.044,6.984,0.296,Training Set
8,1775944,1i,5.000,5.051,-0.051,5.774,-0.774,Training Set
9,1775945,1j,5.670,5.643,0.027,5.564,0.106,Training Set
10,1775946,1k,6.040,6.104,-0.064,6.177,-0.137,Training Set
11,1775947,1l,6.730,6.768,-0.038,6.603,0.127,Training Set
12,1775948,1m,6.410,6.394,0.016,6.385,0.025,Training Set
13,1775949,1o,6.300,6.375,-0.075,6.825,-0.525,Training Set
14,1775950,1p,7.220,7.207,0.013,7.000,0.220,Training Set
15,1775951,1q,6.100,6.057,0.043,6.375,-0.275,Training Set
16,1775952,1s,6.590,6.564,0.026,6.081,0.509,Training Set
17,1775953,1t,6.220,6.271,-0.051,6.602,-0.382,Training Set
18,1775954,1u,6.570,6.535,0.035,6.416,0.154,Training Set
19,1775955,1v,6.560,6.561,-0.001,6.720,-0.160,Training Set
20,1775956,1w,6.740,6.659,0.081,7.227,-0.487,Training Set
21,1775957,1y,7.260,7.273,-0.013,6.587,0.673,Training Set
22,1775958,2a,5.520,5.485,0.035,5.315,0.205,Training Set
23,1775959,2b,7.100,7.113,-0.013,7.153,-0.053,Training Set
24,1775960,2c,7.450,7.454,-0.004,7.109,0.341,Training Set
25,1775961,2d,6.030,5.941,0.089,6.054,-0.024,Training Set
26,1775962,2e,6.150,6.118,0.032,6.577,-0.427,Training Set
27,1775963,2f,6.570,6.523,0.047,7.136,-0.566,Training Set
28,1775964,2g,7.810,7.807,0.003,7.615,0.195,Training Set
29,1775965,2i,7.360,7.330,0.030,6.889,0.471,Training Set
30,1775966,3a,5.890,5.933,-0.043,5.703,0.187,Training Set
31,1775967,3c,7.280,7.324,-0.044,7.351,-0.071,Training Set
32,1775968,3d,6.700,6.804,-0.104,7.338,-0.638,Training Set
33,1775969,3e,6.350,6.348,0.002,6.338,0.012,Training Set
34,1775970,3f,7.700,7.535,0.165,7.001,0.699,Training Set
35,1775971,3g,7.580,7.595,-0.015,7.616,-0.036,Training Set
36,1775972,3h,7.370,7.370,-0.000,7.120,0.250,Training Set
37,1775973,Mol_1e,6.040,6.028,0.012,,,Test Set
38,1775974,Mol_1n,6.300,6.037,0.263,,,Test Set
39,1775975,Mol_1r,6.530,6.245,0.285,,,Test Set
40,1775976,Mol_1x,7.040,6.498,0.542,,,Test Set
41,1775977,Mol_2h,6.780,6.895,-0.115,,,Test Set
42,1775978,Mol_3b,7.160,7.042,0.118,,,Test Set
